"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"liquidType","liquidType","m","I","I","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"calmTileId","calmTileId","n","I","I","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"tileId","tileId","o","I","I","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"spreadSpeed","spreadSpeed","p","I","I","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"calmWater","calmWater","h","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"calmLava","calmLava","j","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"textureIndex","textureIndex","k","I","I","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"grass","grass","d","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"shouldTick","shouldTick","b","[Z","[Z","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"bedrock","bedrock","f","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"z0","z0","o","F","F","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"y1","y1","q","F","F","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"x0","x0","m","F","F","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
