"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"checkWater","checkWater","d","(Lcom/mojang/minecraft/level/Level;IIII)Z","(Lcom/mojang/minecraft/a/g;IIII)Z","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"updateWater","updateWater","c","(Lcom/mojang/minecraft/level/Level;IIII)Z","(Lcom/mojang/minecraft/a/g;IIII)Z","LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"getLiquidType","getLiquidType","d","()I","()I","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"renderFaceNoTexture","renderFaceNoTexture","a","(Lcom/mojang/minecraft/Player;Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/d;Lcom/mojang/minecraft/b/b;IIII)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"setTicking","setTicking","a","(Z)V","(Z)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"tick","tick","a","(Lcom/mojang/minecraft/level/Level;IIILjava/util/Random;)V","(Lcom/mojang/minecraft/a/g;IIILjava/util/Random;)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"mayPick","mayPick","c","()Z","()Z","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"shouldRenderFace","shouldRenderFace","a","(Lcom/mojang/minecraft/level/Level;IIII)Z","(Lcom/mojang/minecraft/a/g;IIII)Z","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"setShape","setShape","a","(FFFFFF)V","(FFFFFF)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"blocksLight","blocksLight","a","()Z","()Z","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"getBlockBoundingBox","getBlockBoundingBox","b","(III)Lcom/mojang/minecraft/phys/AABB;","(III)Lcom/mojang/minecraft/f/a;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"renderFace","renderFace","a","(Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/b/b;IIII)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"render","render","a","(Lcom/mojang/minecraft/renderer/Tesselator;Lcom/mojang/minecraft/level/Level;IIII)V","(Lcom/mojang/minecraft/b/b;Lcom/mojang/minecraft/a/g;IIII)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"getTexture","getTexture","a","(I)I","(I)I","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"destroy","destroy","a","(Lcom/mojang/minecraft/level/Level;IIILcom/mojang/minecraft/particle/ParticleEngine;)V","(Lcom/mojang/minecraft/a/g;IIILcom/mojang/minecraft/c/a;)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"isSolid","isSolid","b","()Z","()Z","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"neighborChanged","neighborChanged","b","(Lcom/mojang/minecraft/level/Level;IIII)V","(Lcom/mojang/minecraft/a/g;IIII)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"getBoundingBox","getBoundingBox","a","(III)Lcom/mojang/minecraft/phys/AABB;","(III)Lcom/mojang/minecraft/f/a;","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"renderBackFace","renderBackFace","b","(Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/b/b;IIII)V","Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;I)I","(Ljava/lang/String;I)I","Textures","com/mojang/minecraft/b/a","com/mojang/minecraft/renderer","0"
"stopGameThread","stopGameThread","a","()V","()V","MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"compare","compare","compare","(Ljava/lang/Object;Ljava/lang/Object;)I","(Ljava/lang/Object;Ljava/lang/Object;)I","DirtyChunkSorter","com/mojang/minecraft/a/b","com/mojang/minecraft/level","0"
"read","read","a","(II)[I","(II)[I","NoiseMap","com/mojang/minecraft/a/a","com/mojang/minecraft/level","0"
"calculateFrustum","calculateFrustum","a","()Lcom/mojang/minecraft/renderer/Frustum;","()Lcom/mojang/minecraft/b/c;","Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"isVisible","isVisible","a","(Lcom/mojang/minecraft/phys/AABB;)Z","(Lcom/mojang/minecraft/f/a;)Z","Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"normalizePlane","normalizePlane","a","([[FI)V","([[FI)V","Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"end","end","a","()V","()V","Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
